group	idx	original	assigned (REVIEW these)
G3	03	4.jpg	-> s02
G3	11	s02_05.png	-> s02
G3	12	s02_06.png	-> s02
G3	13	s02_07.png	-> s02
G3	14	s02_08.png	-> s02
G3	15	s02_09.png	-> s02
G3	00	1.png	-> s07
G3	01	2.jpg	-> s07
G3	04	5.jpg	-> s07
G3	05	6.png	-> s07
G3	08	s02_01.jpg	-> s07
G3	09	s02_02.jpg	-> s07
G3	10	s02_03.jpg	-> s07
G3	16	s02_10.png	-> s07
G3	17	s02_11.png	-> s07
G3	18	s02_12.png	-> s07
G4	01	10.png	-> s06
G4	02	11.png	-> s06
G4	03	12.png	-> s06
G4	06	15.png	-> s06
G4	12	5.png	-> s06
G4	16	9.png	-> s06
G4	05	14.png	-> s08
G4	07	16.png	-> s08
G4	08	17.jpg	-> s08
G5	12	g5_13.png	-> s03
G5	16	g5_17.png	-> s03
G5	17	g5_18.png	-> s03
G5	24	g5_25.png	-> s03
G5	29	g5_30.png	-> s03
G5	30	g5_33.png	-> s03
G5	02	g5_03.png	-> s09
G5	05	g5_06.png	-> s09
G5	14	g5_15.png	-> s09
G5	15	g5_16.png	-> s09
G5	21	g5_22.png	-> s09
